feature,mean_importance
Gender,-0.00025583940370492995
Abortion Edit Indicator,-0.00017400340564157902
Payment Typology 3,6.741985808395856e-05
CCS Diagnosis Description,0.00016422529179712096
APR Severity of Illness Description,0.00031819731078414347
Payment Typology 1,0.0008938519230941467
Ethnicity,0.001187346422006294
Patient Disposition,0.0014358227897232289
mortality_sparcs,0.0014471521884386663
CCS Procedure Description,0.0018891143283469413
Race,0.0019076759065920351
APR DRG Description,0.0019667099025646477
Payment Typology 2,0.0033742323515653814
Type of Admission,0.003445593702293631
CCS Diagnosis Code,0.004999809659170812
Age Group,0.005106658569957162
APR MDC Description,0.005362247579281271
APR Severity of Illness Code,0.005659434074026121
CCS Procedure Code,0.006296475848638183
Emergency Department Indicator,0.010125218903762634
Facility Id,0.011179286625507068
Health Service Area,0.015009807962920235
APR MDC Code,0.01624189918916319
Zip Code - 3 digits,0.018009068403904954
APR Medical Surgical Description,0.022163331753048382
Facility Name,0.02540465227432003
APR DRG Code,0.02733544266027397
Hospital County,0.02962228189115166
Birth Weight,0.03322437833660575
Operating Certificate Number,0.0375501800946865
Length of Stay,0.06002739527034593
Total Charges,1.2017477096262599
