feature,mean_importance
Race,1.6653345369377347e-17
Abortion Edit Indicator,2.2204460492503132e-17
CCS Procedure Code,2.7755575615628914e-17
Emergency Department Indicator,2.7755575615628914e-17
Payment Typology 3,2.7755575615628914e-17
Payment Typology 2,2.7755575615628914e-17
Payment Typology 1,2.7755575615628914e-17
APR MDC Description,2.7755575615628914e-17
APR MDC Code,2.7755575615628914e-17
APR DRG Description,2.7755575615628914e-17
CCS Procedure Description,2.7755575615628914e-17
CCS Diagnosis Description,2.7755575615628914e-17
mortality_sparcs,2.7755575615628914e-17
Type of Admission,2.7755575615628914e-17
Patient Disposition,2.7755575615628914e-17
Health Service Area,3.3306690738754695e-17
Ethnicity,3.3306690738754695e-17
Gender,3.3306690738754695e-17
Facility Name,5.763395670488336e-07
Age Group,2.6545032165148363e-06
CCS Diagnosis Code,4.361400417662864e-06
APR Severity of Illness Description,7.231958318954513e-05
APR DRG Code,0.0001286723703414816
Facility Id,0.00015889694987841207
Operating Certificate Number,0.0001879057443960219
APR Medical Surgical Description,0.0005689792923295245
APR Severity of Illness Code,0.000711096375779413
Hospital County,0.0007247988853247234
Length of Stay,0.004718379972854692
Zip Code - 3 digits,0.004785084863457151
Birth Weight,0.0302941348136647
Total Charges,1.4276538305413662
